model	FuLi	Watt	Taj	FW
SNMR0	-0.069	-0.059	-0.016	0.035
SNMRh	-0.219	-0.034	-0.020	0.025
SSR0	-0.067	-0.040	-0.042	0.026
SSRh	-0.198	-0.107	-0.139	-0.026
SNM-RED	-0.119	-0.146	-0.112	-0.260
SNM-EXP	-0.082	0.010	0.070	0.082
DELF	-1.934	-0.961	-0.476	-0.022
DELG	-1.390	-0.695	-0.422	-0.034
DEL-EXP	-1.838	-0.924	-0.311	0.225
PSL-DELF	-1.966	-0.805	-0.370	0.193
PSM-DELF	-0.727	-0.256	-0.016	0.109
PSH-DELF	-0.575	-0.199	-0.037	0.030
PSH	0.550	0.439	0.400	0.154
PSM	0.325	0.280	0.272	0.061
PSL	0.194	0.188	0.179	0.061
